,price,minimum_nights
0,149,1
1,225,1
2,150,3
3,89,1
4,80,10
5,200,3
6,60,45
7,79,2
8,79,2
9,150,1
10,135,5
11,85,2
12,89,4
13,85,2
14,120,90
15,140,2
16,215,2
17,140,1
18,99,3
19,190,7
20,299,3
21,130,2
22,80,1
23,110,2
24,120,2
25,60,1
26,80,4
27,150,10
28,44,3
29,180,14
30,50,3
31,52,2
32,55,4
33,50,3
34,70,1
35,89,4
36,35,60
37,85,2
38,150,1
39,40,1
40,68,2
41,120,3
42,120,7
43,135,4
44,150,7
45,150,29
46,130,3
47,110,7
48,115,3
49,80,3
50,80,1
51,151,2
52,228,3
53,144,2
54,200,7
55,150,30
56,110,5
57,69,2
58,49,4
59,180,30
60,80,2
61,375,180
62,250,2
63,200,30
64,55,7
65,52,30
66,225,3
67,80,1
68,275,1
69,99,1
70,225,4
71,230,9
72,51,7
73,65,2
74,105,2
75,190,5
76,200,1
77,70,30
78,95,3
79,150,3
80,145,3
81,110,31
82,285,5
83,130,6
84,94,30
85,800,1
86,105,3
87,60,3
88,50,1
89,85,3
90,65,4
91,131,4
92,98,7
93,250,7
94,100,5
95,105,3
96,140,3
97,89,1
98,98,30
99,125,7
100,60,3
101,175,2
102,65,2
103,500,4
104,101,3
105,220,30
106,125,90
107,80,30
108,100,2
109,200,30
110,59,2
111,125,2
112,140,7
113,120,30
114,350,2
115,199,5
116,325,3
117,235,6
118,225,1
119,99,2
120,170,2
121,400,2
122,170,7
123,100,4
124,75,2
125,90,1
126,150,5
127,85,15
128,70,3
129,120,3
130,89,3
131,185,5
132,50,3
133,105,3
134,130,2
135,115,29
136,77,2
137,76,2
138,125,3
139,135,4
140,250,29
141,199,3
142,140,2
143,140,2
144,115,3
145,160,3
146,195,4
147,195,3
148,80,3
149,44,8
150,156,4
151,85,15
152,125,3
153,115,15
154,69,2
155,225,45
156,125,6
157,219,4
158,475,3
159,99,1
160,69,4
161,79,30
162,135,2
163,250,3
164,250,3
165,250,2
166,80,3
167,70,2
168,165,2
169,70,2
170,50,2
171,40,1
172,150,2
173,125,1
174,196,3
175,110,2
176,170,3
177,165,3
178,150,26
179,100,2
180,65,2
181,350,8
182,99,4
183,200,4
184,150,5
185,90,3
186,120,3
187,75,3
188,175,26
189,125,3
190,275,1
191,299,2
192,135,5
193,130,14
194,83,1
195,123,1
196,55,2
197,195,5
198,80,2
199,98,30
200,140,7
201,265,7
202,249,2
203,105,6
204,200,30
205,100,2
206,121,1
207,45,1
208,100,5
209,140,2
210,71,2
211,130,2
212,199,5
213,69,4
214,68,3
215,130,1
216,195,2
217,64,1
218,140,2
219,159,2
220,189,3
221,250,3
222,239,3
223,305,2
224,155,3
225,60,1
226,135,2
227,120,7
228,150,3
229,140,14
230,135,2
231,250,4
232,250,30
233,500,4
234,225,5
235,125,28
236,92,1
237,175,2
238,99,2
239,195,4
240,140,3
241,135,2
242,500,2
243,80,14
244,120,4
245,110,200
246,65,3
247,130,50
248,99,3
249,36,2
250,37,2
251,37,2
252,175,3
253,205,9
254,285,3
255,59,2
256,36,2
257,99,5
258,39,1
259,60,14
260,90,2
261,105,2
262,135,2
263,390,5
264,70,3
265,75,7
266,60,17
267,200,3
268,100,3
269,70,4
270,110,6
271,60,2
272,90,14
273,68,2
274,115,2
275,75,5
276,60,3
277,129,7
278,130,10
279,95,4
280,75,3
281,175,2
282,190,3
283,49,21
284,212,3
285,95,1
286,140,2
287,135,6
288,150,2
289,190,3
290,124,28
291,135,30
292,122,3
293,109,1
294,85,30
295,145,3
296,195,11
297,250,2
298,125,3
299,575,2
300,150,30
301,70,5
302,90,2
303,65,3
304,500,2
305,250,3
306,125,25
307,200,30
308,229,1
309,90,30
310,110,13
311,59,3
312,195,4
313,169,1
314,113,14
315,250,14
316,115,2
317,55,2
318,69,2
319,150,3
320,169,2
321,179,3
322,150,3
323,135,4
324,350,6
325,120,14
326,71,2
327,349,3
328,349,3
329,165,30
330,249,3
331,100,3
332,200,3
333,169,4
334,185,3
335,65,2
336,130,35
337,199,30
338,225,2
339,179,3
340,150,5
341,139,1
342,95,3
343,79,15
344,150,2
345,650,5
346,90,3
347,120,2
348,80,1
349,100,90
350,175,2
351,120,5
352,140,7
353,200,5
354,165,4
355,125,4
356,130,30
357,65,7
358,123,30
359,67,2
361,130,7
362,100,3
363,212,21
364,190,3
365,599,3
366,249,5
367,70,27
368,100,30
369,60,3
370,135,2
371,175,3
372,120,5
373,169,18
374,165,7
375,90,1
376,225,2
377,95,2
378,55,2
379,85,10
380,199,14
381,211,1
382,145,6
383,65,14
384,99,1
385,110,4
386,80,3
387,150,30
388,110,4
389,290,2
390,87,2
391,190,4
392,200,2
393,165,2
394,110,2
395,395,2
396,99,2
397,39,1
398,189,2
399,85,1
400,260,30
401,122,1
402,165,2
403,97,3
404,170,4
405,125,2
406,130,4
407,225,10
408,50,2
409,170,3
410,132,4
411,250,7
412,141,5
413,64,20
414,249,3
415,79,2
416,185,2
417,120,3
418,495,1
419,375,3
420,175,3
421,150,4
422,259,8
423,96,1
424,145,7
425,200,4
426,95,5
427,250,4
428,295,2
429,175,3
430,451,2
431,165,2
432,250,4
433,77,1
434,250,4
435,129,1
436,98,2
437,150,2
438,95,7
439,55,3
440,300,2
441,42,40
442,125,2
443,175,3
444,75,3
445,255,45
446,72,31
447,165,1
448,165,5
449,75,3
450,130,5
451,139,2
452,88,1
453,80,1
454,150,2
455,200,3
456,200,2
457,42,40
458,90,6
459,295,3
460,450,5
461,130,2
462,89,3
463,198,5
464,99,2
465,46,4
466,140,2
467,500,7
468,75,5
469,33,44
470,250,31
471,60,3
472,75,2
473,350,5
474,205,9
475,219,5
476,60,1
477,185,2
478,190,3
479,105,28
480,250,2
481,175,65
482,65,2
483,75,2
484,37,4
485,85,2
486,106,7
487,79,2
488,85,2
489,170,2
490,115,3
491,89,5
492,49,3
493,91,3
494,400,2
495,150,2
496,2000,30
497,97,3
498,100,4
499,179,4
500,500,2
501,429,10
502,189,6
503,120,2
504,300,1
505,107,30
